time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1752154081995974100,0.59397412109375,179.89999389648438,2.5,1.82024085521698,1.649999976158142,0.12476570904254913,299.998779296875,583,73.9134562,18.4499797
1752154082493578800,1.091578857421875,0,1.600000023841858,1.8252168893814087,1.6799999475479126,0.03203848376870155,0,583,73.9134608,18.4499779
1752154083221297700,1.819297607421875,73.4000015258789,1.2000000476837158,1.8324941396713257,1.7000000476837158,0.3158656656742096,93.1607437133789,583,73.9134709,18.4499771
1752154083715330300,2.313330322265625,55.79999923706055,1,1.8374344110488892,1.7000000476837158,0.5034396648406982,92.39629364013672,583,73.9134784,18.4499768
1752154084218176300,2.81617626953125,51.599998474121094,0.8999999761581421,1.8424628973007202,1.75,0.5970906019210815,97.01983642578125,583,73.9134845,18.4499746
1752154084717656600,3.315656494140625,50.599998474121094,0.8999999761581421,1.8474576473236084,1.7569999694824219,0.6287654042243958,99.6649398803711,583,73.913489,18.4499727
1752154085721262000,4.319261962890625,179.89999389648438,2.9000000953674316,1.8574937582015991,1.8140000104904175,0.5618295073509216,94.71742248535156,583,73.9134973,18.4499693
1752154086719287600,5.31728759765625,179.89999389648438,2,1.30073881149292,1.850000023841858,0.3867935836315155,78.42162322998047,580.2000122070312,73.9135016,18.4499723
1752154087719666200,6.317666259765625,80.69999694824219,2.5999999046325684,1.3107426166534424,1.871000051498413,0.18975180387496948,38.62904357910156,580.2000122070312,73.9135022,18.4499758
1752154088719569200,7.317569091796875,28.100000381469727,1.7999999523162842,1.3207416534423828,1.965999960899353,0.6767604947090149,285.8221740722656,580.2000122070312,73.9134861,18.4499793
1752154089720873700,8.318873779296876,20.600000381469727,1.399999976158142,1.3307546377182007,2.0799999237060547,1.4803906679153442,275.5254211425781,580.2000122070312,73.9134578,18.4499802
1752154090722080800,9.320080810546875,19.200000762939453,1.899999976158142,1.3407667875289917,2.140000104904175,2.0668392181396484,274.2707824707031,580.2000122070312,73.9134255,18.4499792
1752154091719565300,10.3175654296875,14.399999618530273,1.7999999523162842,1.971137285232544,2.1600000858306885,2.9262120723724365,272.9369812011719,580.3999633789062,73.9133806,18.4499778
1752154092723686700,11.321686767578125,12.300000190734863,1.7999999523162842,1.9811785221099854,2.200000047683716,3.8192832469940186,271.8206481933594,580.3999633789062,73.9133285,18.4499785
1752154093723998700,12.321998779296875,11.199999809265137,1.899999976158142,1.9911816120147705,2.240000009536743,4.554943084716797,270.80938720703125,580.3999633789062,73.9132686,18.449981
1752154094722408200,13.320408203125,9.399999618530273,1.7999999523162842,2.0011656284332275,2.2799999713897705,5.333866119384766,271.01031494140625,580.3999633789062,73.9132031,18.4499841
1752154095725074000,14.323073974609375,8.399999618530273,1.7000000476837158,2.0111923217773438,2.319999933242798,6.08047342300415,271.72149658203125,580.3999633789062,73.913131,18.44999
1752154096722952400,15.320952392578125,4.400000095367432,1.100000023841858,2.0211710929870605,2.3399999141693115,7.466603755950928,275.3723449707031,580.3999633789062,73.9130405,18.4499984
1752154097723247400,16.321247314453124,4.099999904632568,1.100000023841858,2.0311741828918457,2.3329999446868896,7.94052791595459,274.4371337890625,580.3999633789062,73.9129511,18.4500072
1752154098724797000,17.322796875,3.5,1,2.041189670562744,2.3399999141693115,8.748382568359375,270.020263671875,580.3999633789062,73.9128611,18.4500119
1752154099719537000,18.317536865234374,3.5999999046325684,1,2.0511369705200195,2.3329999446868896,8.926595687866211,266.0213928222656,580.3999633789062,73.9127728,18.4500117
1752154100723926000,19.321926025390624,3.700000047683716,1.100000023841858,2.061180830001831,2.299999952316284,9.519396781921387,266.9913330078125,580.3999633789062,73.9126784,18.450008
1752154101722715100,20.320715087890626,3.700000047683716,1,2.071168899536133,2.25,9.55254077911377,270.9735412597656,580.3999633789062,73.9125701,18.4500118
1752154102722862300,21.3208623046875,3.700000047683716,1.100000023841858,2.0811703205108643,2.2160000801086426,9.97866153717041,271.9941101074219,580.3999633789062,73.9124672,18.4500204
1752154103720113700,22.31811376953125,3.4000000953674316,1,2.0911428928375244,2.183000087738037,10.142601013183594,271.0064697265625,580.3999633789062,73.9123634,18.4500262
1752154104725314600,23.323314453125,3.4000000953674316,1,2.1011948585510254,2.0999999046325684,10.38414192199707,269.01287841796875,580.3999633789062,73.9122583,18.4500311
1752154105725224000,24.323223876953126,3.4000000953674316,1,2.111193895339966,2.059999942779541,10.58559799194336,268.99993896484375,580.3999633789062,73.9121515,18.4500299
1752154106725946400,25.3239462890625,3.5999999046325684,1,2.1212010383605957,2.0199999809265137,10.077958106994629,268.0084533691406,580.3999633789062,73.9120487,18.4500283
1752154107721492700,26.31949267578125,3.9000000953674316,1.100000023841858,2.1311566829681396,2,9.335329055786133,267.0111389160156,580.3999633789062,73.9119548,18.4500265
1752154108722397700,27.320397705078125,4.5,1.2000000476837158,2.1411657333374023,1.940000057220459,8.705587387084961,264.0343322753906,580.3999633789062,73.9118667,18.4500218
1752154109722718700,28.32071875,5.400000095367432,1.2000000476837158,2.1511688232421875,1.9329999685287476,8.360966682434082,264.9924621582031,580.3999633789062,73.9117638,18.4500134
1752154110722798300,29.32079833984375,5.699999809265137,1.2999999523162842,2.1611695289611816,1.9160000085830688,8.406726837158203,265.000244140625,580.3999633789062,73.9116695,18.4500081
1752154111721984000,30.31998388671875,5.699999809265137,1.2999999523162842,2.171161413192749,1.8830000162124634,9.080080032348633,264.0082092285156,580.3999633789062,73.9115703,18.4500017
1752154112725784300,31.323784423828126,6.099999904632568,1.399999976158142,2.181199550628662,1.8600000143051147,9.557292938232422,263.0129699707031,580.3999633789062,73.9114722,18.4499919
1752154113718630400,32.31663037109375,6.800000190734863,1.600000023841858,2.1911280155181885,1.850000023841858,9.577652931213379,261.0477600097656,580.3999633789062,73.9113734,18.449983
1752154114721823000,33.319822998046874,7.5,1.600000023841858,2.201159954071045,1.850000023841858,9.05716609954834,258.0934143066406,580.3999633789062,73.911282,18.4499714
1752154115723565600,34.321565673828125,8.699999809265137,1.600000023841858,2.211177349090576,1.840000033378601,8.362664222717285,258.01654052734375,580.3999633789062,73.9112011,18.4499564
1752154116725158100,35.323158203125,9.600000381469727,1.600000023841858,2.221193313598633,1.8799999952316284,7.759984016418457,255.11154174804688,580.3999633789062,73.9111248,18.4499429
1752154117719794200,36.317794189453124,9.100000381469727,1.2999999523162842,2.231139659881592,1.8830000162124634,6.765267848968506,253.06858825683594,580.3999633789062,73.9110564,18.4499278
1752154118722038500,37.32003857421875,15.300000190734863,1.7000000476837158,2.241162061691284,1.9199999570846558,5.147563934326172,251.16677856445312,580.3999633789062,73.9110021,18.4499128
1752154119724372200,38.322372314453126,17.200000762939453,1.600000023841858,2.251185417175293,1.9199999570846558,4.429316520690918,247.18197631835938,580.3999633789062,73.9109608,18.4498982
1752154120723939800,39.32193994140625,12.899999618530273,1.399999976158142,2.261181116104126,1.9199999570846558,4.796047687530518,246.0117645263672,580.3999633789062,73.9109203,18.4498819
1752154121724057900,40.322057861328126,12.600000381469727,1.600000023841858,5.395228385925293,1.899999976158142,5.208806991577148,245.98085021972656,583.2000122070312,73.9108728,18.4498649
1752154122723311400,41.32131127929687,17.299999237060547,1.899999976158142,5.405220985412598,1.8799999952316284,4.499643325805664,240.34002685546875,583.2000122070312,73.9108283,18.4498479
1752154123720354000,42.31835400390625,15.600000381469727,1.7999999523162842,5.415191173553467,1.8830000162124634,4.432126045227051,241.9561767578125,583.2000122070312,73.9107888,18.4498311
