time,seconds_elapsed,z,y,x
1752154081459048000,0.0570478515625,-135.66250610351562,29.6875,-26.73750114440918
1752154081479076400,0.077076416015625,-136.8625030517578,29.42500114440918,-28.1875
1752154081499132000,0.0971318359375,-133.46250915527344,28.037500381469727,-26.637500762939453
1752154081519183400,0.117183349609375,-126.5999984741211,25.30000114440918,-23.375
1752154081539198200,0.1371982421875,-119.6624984741211,22.48750114440918,-20.075000762939453
1752154081559201800,0.157201904296875,-112.61250305175781,19.587499618530273,-16.649999618530273
1752154081579190800,0.177190673828125,-105.3499984741211,16.55000114440918,-13.137499809265137
1752154081599182600,0.1971826171875,-97.9375,13.40000057220459,-9.600000381469727
1752154081619191800,0.21719189453125,-90.4375,10.137499809265137,-6.087500095367432
1752154081639175400,0.237175537109375,-82.95000457763672,6.825000286102295,-2.637500047683716
1752154081659167700,0.257167724609375,-75.4749984741211,3.5,0.7875000238418579
1752154081679170300,0.27717041015625,-68.0999984741211,0.21250000596046448,4.175000190734863
1752154081699165700,0.297165771484375,-60.70000076293945,-3.0250000953674316,7.599999904632568
1752154081719165200,0.317165283203125,-53.29999923706055,-6.175000190734863,11.137499809265137
1752154081739169000,0.3371689453125,-45.86249923706055,-9.262499809265137,14.800000190734863
1752154081759164700,0.35716455078125,-38.38750076293945,-12.300000190734863,18.48750114440918
1752154081779175200,0.377175048828125,-30.887500762939453,-15.287500381469727,22.225000381469727
1752154081799172400,0.39717236328125,-26.725000381469727,-16.92500114440918,24.3125
1752154081819173000,0.417173095703125,-26.012500762939453,-17.25,24.762500762939453
1752154081839177700,0.437177734375,-25.25,-17.537500381469727,25.25
1752154081859172600,0.457172607421875,-24.637500762939453,-17.712499618530273,25.587499618530273
1752154081879170800,0.4771708984375,-24.212499618530273,-17.712499618530273,25.825000762939453
1752154081899174100,0.497174072265625,-23.912500381469727,-17.55000114440918,26.11250114440918
1752154081919169000,0.5171689453125,-23.575000762939453,-17.287500381469727,26.4375
1752154081939168000,0.53716796875,-23.200000762939453,-17,26.837499618530273
1752154081959170300,0.55717041015625,-22.75,-16.700000762939453,27.3125
1752154081979164000,0.577163818359375,-22.200000762939453,-16.462499618530273,27.837499618530273
1752154081999163600,0.59716357421875,-21.600000381469727,-16.30000114440918,28.350000381469727
1752154082019168000,0.61716796875,-21.024999618530273,-16.23750114440918,28.73750114440918
1752154082039172000,0.637172119140625,-20.5625,-16.274999618530273,28.9375
1752154082059178000,0.657177978515625,-20.17500114440918,-16.42500114440918,28.98750114440918
1752154082079174100,0.677174072265625,-19.825000762939453,-16.575000762939453,28.962499618530273
1752154082099173000,0.697173095703125,-19.48750114440918,-16.73750114440918,28.975000381469727
1752154082119176000,0.717176025390625,-19.05000114440918,-16.875,29.05000114440918
1752154082139179300,0.73717919921875,-18.762500762939453,-16.975000381469727,29.11250114440918
1752154082159173600,0.757173583984375,-18.399999618530273,-17.0625,29.225000381469727
1752154082179174000,0.777173828125,-18.087499618530273,-17.200000762939453,29.36250114440918
1752154082199176200,0.79717626953125,-17.8125,-17.399999618530273,29.450000762939453
1752154082219169800,0.817169677734375,-17.625,-17.587499618530273,29.450000762939453
1752154082239170600,0.837170654296875,-17.475000381469727,-17.725000381469727,29.337499618530273
1752154082259164400,0.857164306640625,-17.36250114440918,-17.875,29.274999618530273
1752154082279160600,0.87716064453125,-17.262500762939453,-18,29.1875
1752154082299168500,0.89716845703125,-17.274999618530273,-18.100000381469727,29.0625
1752154082319168300,0.917168212890625,-17.387500762939453,-18.162500381469727,28.875
1752154082339174000,0.937173828125,-17.23750114440918,-18.212499618530273,28.774999618530273
1752154082359171300,0.95717138671875,-17.162500381469727,-18.23750114440918,28.712499618530273
1752154082379171000,0.977171142578125,-17.024999618530273,-18.25,28.80000114440918
1752154082399175200,0.997175048828125,-17.0625,-18.212499618530273,28.86250114440918
1752154082419178200,1.01717822265625,-17.23750114440918,-18.17500114440918,28.73750114440918
1752154082439172900,1.0371728515625,-17.262500762939453,-18.137500762939453,28.649999618530273
1752154082459173000,1.057173095703125,-17.3125,-18.11250114440918,28.575000762939453
1752154082479166200,1.077166259765625,-17.337499618530273,-18.075000762939453,28.462499618530273
1752154082499164000,1.097163818359375,-17.337499618530273,-18.024999618530273,28.36250114440918
1752154082519167700,1.117167724609375,-17.375,-17.950000762939453,28.225000381469727
1752154082539170000,1.137170166015625,-17.412500381469727,-17.875,28.17500114440918
1752154082559177000,1.157177001953125,-17.625,-17.762500762939453,27.912500381469727
1752154082579173000,1.177173095703125,-17.712499618530273,-17.625,27.75
1752154082599172000,1.197172119140625,-17.75,-17.475000381469727,27.587499618530273
1752154082619172000,1.217172119140625,-17.67500114440918,-17.325000762939453,27.475000381469727
1752154082639163100,1.2371630859375,-17.762500762939453,-17.087499618530273,27.387500762939453
1752154082659164000,1.257163818359375,-17.6875,-16.8125,27.399999618530273
1752154082679170000,1.277170166015625,-17.600000381469727,-16.55000114440918,27.42500114440918
1752154082699164700,1.29716455078125,-17.30000114440918,-16.225000381469727,27.600000381469727
1752154082719171800,1.317171875,-17.012500762939453,-15.862500190734863,27.787500381469727
1752154082739173600,1.337173583984375,-16.787500381469727,-15.40000057220459,28.012500762939453
1752154082759167200,1.357167236328125,-16.5,-14.887499809265137,28.23750114440918
1752154082779173600,1.377173583984375,-16.3125,-14.25,28.5
1752154082799168000,1.39716796875,-16.17500114440918,-13.5,28.712499618530273
1752154082819170800,1.4171708984375,-16.137500762939453,-12.637499809265137,29.012500762939453
1752154082839176200,1.43717626953125,-16.25,-11.612500190734863,29.262500762939453
1752154082859169000,1.4571689453125,-16.42500114440918,-10.487500190734863,29.55000114440918
1752154082879165000,1.4771650390625,-16.962499618530273,-9.137499809265137,29.67500114440918
1752154082899171000,1.497171142578125,-17.662500381469727,-7.587500095367432,29.625
1752154082919175700,1.51717578125,-18.512500762939453,-5.887500286102295,29.4375
1752154082939168500,1.53716845703125,-19.587499618530273,-4.050000190734863,28.912500381469727
1752154082959166000,1.557166015625,-20.86250114440918,-2.0250000953674316,28.125
1752154082979169500,1.57716943359375,-22.11250114440918,0.13750000298023224,27.225000381469727
1752154082999176400,1.597176513671875,-23.3125,2.362499952316284,26.200000762939453
1752154083039169300,1.637169189453125,-25.325000762939453,6.9375,24.337499618530273
1752154083099173600,1.697173583984375,-27.98750114440918,13.850000381469727,20.975000381469727
1752154083119171300,1.71717138671875,-28.575000762939453,16.037500381469727,19.899999618530273
1752154083139176200,1.73717626953125,-28.86250114440918,18.137500762939453,18.850000381469727
1752154083159171600,1.757171630859375,-28.962499618530273,20.11250114440918,17.887500762939453
1752154083179170300,1.77717041015625,-28.837499618530273,21.9375,16.962499618530273
1752154083199170000,1.797170166015625,-28.524999618530273,23.587499618530273,16.125
1752154083219167200,1.817167236328125,-28.100000381469727,25.087499618530273,15.4375
1752154083239169300,1.837169189453125,-27.475000381469727,26.387500762939453,14.975000381469727
1752154083259170000,1.857170166015625,-26.700000762939453,27.462499618530273,14.675000190734863
1752154083279172900,1.8771728515625,-25.899999618530273,28.36250114440918,14.625
1752154083299179800,1.8971796875,-25.325000762939453,29.125,14.537500381469727
1752154083319175000,1.9171748046875,-24.875,29.774999618530273,14.362500190734863
1752154083339175400,1.937175537109375,-24.55000114440918,30.30000114440918,14.162500381469727
1752154083359175200,1.957175048828125,-24.4375,30.6875,13.875
1752154083379171800,1.977171875,-24.350000381469727,30.98750114440918,13.637499809265137
1752154083399174000,1.997173828125,-24.23750114440918,31.17500114440918,13.449999809265137
1752154083419165700,2.017165771484375,-24.337499618530273,31.3125,13.08750057220459
1752154083439172400,2.03717236328125,-24.5,31.42500114440918,12.800000190734863
1752154083459173600,2.057173583984375,-24.712499618530273,31.48750114440918,12.475000381469727
1752154083479167700,2.077167724609375,-24.887500762939453,31.450000762939453,12.237500190734863
1752154083499174000,2.097173828125,-25.125,31.387500762939453,12.100000381469727
1752154083519169000,2.1171689453125,-25.387500762939453,31.262500762939453,12.012499809265137
1752154083539128800,2.13712890625,-25.637500762939453,31.100000381469727,12.037500381469727
1752154083559153200,2.157153076171875,-25.912500381469727,30.912500381469727,12.125
1752154083579159800,2.177159912109375,-26.25,30.6875,12.074999809265137
1752154083599175000,2.1971748046875,-26.524999618530273,30.462499618530273,12.037500381469727
1752154083619178500,2.217178466796875,-26.887500762939453,30.25,11.925000190734863
1752154083659183000,2.25718310546875,-27.48750114440918,29.774999618530273,11.987500190734863
1752154083679175200,2.277175048828125,-27.649999618530273,29.475000381469727,12.162500381469727
1752154083699177000,2.297177001953125,-28.037500381469727,29.137500762939453,12.262499809265137
1752154083719169800,2.317169677734375,-28.287500381469727,28.712499618530273,12.487500190734863
1752154083739167500,2.33716748046875,-28.662500381469727,28.162500381469727,12.737500190734863
1752154083759166700,2.357166748046875,-29.037500381469727,27.524999618530273,12.96250057220459
1752154083779175200,2.377175048828125,-29.475000381469727,26.825000762939453,13.15000057220459
1752154083799172900,2.3971728515625,-29.887500762939453,26.05000114440918,13.425000190734863
1752154083819169800,2.417169677734375,-30.262500762939453,25.212499618530273,13.762499809265137
1752154083839170800,2.4371708984375,-30.61250114440918,24.3125,14.074999809265137
1752154083859177500,2.457177490234375,-31.037500381469727,23.337499618530273,14.350000381469727
1752154083879184100,2.47718408203125,-31.537500381469727,22.337499618530273,14.58750057220459
1752154083899178500,2.497178466796875,-32.01250076293945,21.274999618530273,14.862500190734863
1752154083919167700,2.517167724609375,-32.36249923706055,20.125,15.262499809265137
1752154083939166500,2.53716650390625,-32.712501525878906,18.912500381469727,15.6875
1752154083959168000,2.55716796875,-32.98749923706055,17.649999618530273,16.024999618530273
1752154083979172400,2.57717236328125,-33.3125,16.387500762939453,16.375
1752154083999166200,2.597166259765625,-33.41250228881836,15.08750057220459,16.86250114440918
1752154084019167500,2.61716748046875,-33.525001525878906,13.8125,17.36250114440918
1752154084039163000,2.637162841796875,-33.60000228881836,12.5625,17.899999618530273
1752154084059173000,2.657173095703125,-33.57500076293945,11.324999809265137,18.48750114440918
1752154084079172000,2.677172119140625,-33.525001525878906,10.125,19.05000114440918
1752154084099172600,2.697172607421875,-33.4375,8.987500190734863,19.450000762939453
1752154084119176400,2.717176513671875,-33.337501525878906,7.962500095367432,19.787500381469727
1752154084139171000,2.737171142578125,-33.28750228881836,7.037499904632568,20.100000381469727
1752154084159170000,2.757170166015625,-33.212501525878906,6.262500286102295,20.4375
1752154084179173000,2.777173095703125,-33.04999923706055,5.550000190734863,20.787500381469727
1752154084199168000,2.79716796875,-32.8125,4.912499904632568,21.125
1752154084219166200,2.817166259765625,-32.66250228881836,4.349999904632568,21.387500762939453
1752154084239169500,2.83716943359375,-32.525001525878906,3.875,21.48750114440918
1752154084259165000,2.8571650390625,-32.4375,3.4750001430511475,21.587499618530273
1752154084279175000,2.8771748046875,-32.400001525878906,3.1500000953674316,21.712499618530273
1752154084299172000,2.897172119140625,-32.28750228881836,2.862499952316284,21.875
1752154084319173600,2.917173583984375,-32.28750228881836,2.6500000953674316,21.912500381469727
1752154084339176200,2.93717626953125,-32.375,2.5,21.787500381469727
1752154084359171800,2.957171875,-32.61249923706055,2.4125001430511475,21.537500381469727
1752154084379170800,2.9771708984375,-32.67499923706055,2.3500001430511475,21.30000114440918
1752154084399174700,2.997174560546875,-32.900001525878906,2.2750000953674316,21.087499618530273
1752154084419169500,3.01716943359375,-33.150001525878906,2.1875,20.75
1752154084439168300,3.037168212890625,-33.337501525878906,2.075000047683716,20.450000762939453
1752154084459171300,3.05717138671875,-33.400001525878906,1.962499976158142,20.225000381469727
1752154084479166500,3.07716650390625,-33.4375,1.899999976158142,20.100000381469727
